bai   BAI
bam   BAM
bed   bed
bed.gz    BedGz
tabix BedTABIX
bool  Boolean
boolean   Boolean
tar.gz    CompressedTarFile
brai  CRAI
cram  CRAM
CramPair  CramPair
csv   csv
directory Directory
double    Double
fa    Fasta
fna   Fasta
fasta Fasta
FastaBwa  FastaBwa
fai   FastaFai 
fasta.gz  FastaGz
FastaGzBwa    FastaGzBwa
FastaGzFai    FastaGzFai
FastaGzWithIndexes    FastaGzWithIndexes
FastaWithIndexes  FastaWithIndexes
FastDict  FastDict
FastGzDict    FastGzDict
fq    Fastq
fastq Fastq
fastqsanger   Fastq
fastqillumina Fastq
fastq.gz  FastqGz
fastqsanger.gz    FastqGz
fastqillumina.gz  FastqGz
file  File
filename  Filename
float Float
gz    Gzip
html  HtmlFile
IndexedBam    IndexedBam
integer   Integer
json  jsonFile
kallisto.idx  KallistoIdx
sam   SAM
stdout    Stdout
color String
string    String
text  String
tar   TarFile
txt   TextFile
tsv   tsv
vcf   VCF
vcf_bgzip CompressedVCF
IndexedVCF    IndexedVCF
CompressedIndexedVCF  CompressedIndexedVCF
WhisperIdx    WhisperIdx
zip   Zip
